시행업체명,시공업체명,사업구분명,지역구분코드,지역상세구분코드,지역구분코드명,지역상세구분코드명,사업규모내용,사업구분명,총세대수,일반분양세대수,조합원세대수,임대보증세대수,분양가격,모집공고승인일자,분양개시일자
한국자산신탁(주),"롯데건설(주),",해솔마을7단지 롯데캐슬 (파주 교하신도시 A14블럭 운정택지지구 롯데캐슬),07,0713,경기도,경기 파주시,"최저 -2 층 ~ 최고 30층, 20동",일반분양,1880,1880,0,0,10799603,20110601,
(주)웰스엔지니어링,"(주)용상건설,",속초시 금호 생-모리츠,08,0817,강원도,강원 속초시,"최저 18 층 ~ 최고 18층, 3동",일반분양,251,251,0,0,6311802,20110621,
(주)한국토지신탁,"동아건설산업(주),",동해 효가 동아 더프라임 2단지,08,0840,강원도,강원 동해시,"최저 -1 층 ~ 최고 18층, 2동",일반분양,193,193,0,0,5001569,20110405,
대선건설(주),"대선건설(주),",영월 대선 드림채 아파트 신축공사,08,0830,강원도,강원 영월군,"최저 18 층 ~ 최고 20층, 6동",일반분양,360,334,0,0,4941203,20111116,
(주)신일건업,"(주)신일건업,",우산아파트 주택재건축 정비사업,08,0820,강원도,강원 원주시,"최저 11 층 ~ 최고 24층, 15동",재건축,884,526,358,0,5957445,20110617,
디엘건설(주),"디엘건설(주),",춘천 소양로 주택재건축 정비사업,08,0800,강원도,강원 춘천시,"최저 13 층 ~ 최고 18층, 13동",재건축,1431,1211,220,0,6293028,20111117,20111207
(주)한국토지신탁,"동호건설 (주),",삼척 교동 코아루 타워,08,0845,강원도,강원 삼척시,"최저 18 층 ~ 최고 24층, 6동",일반분양,474,474,0,0,7073590,20111019,
(주)한국토지신탁,"금강종합건설(주),",춘천 뉴시티 코아루,08,0800,강원도,강원 춘천시,"최저 6 층 ~ 최고 15층, 8동",일반분양,463,463,0,0,5673530,20130404,
(주)삼태사,"에쓰와이이앤씨(주),",충주연수 세영리첼2단지 신축공사,09,0980,충청북도,충북 충주시,"최저 12 층 ~ 최고 18층, 4동",일반분양,248,240,0,0,6148479,20110527,20110615
(주)경운종합건설,"(주)경운종합건설,",광혜원파인에코빌,09,0965,충청북도,충북 진천군,"최저 0 층 ~ 최고 0층, 5동",일반분양,148,148,0,0,5358349,20110225,
대한토지신탁(주),"한신공영(주),",청주 북문로 한신휴플러스 아파트,09,0960,충청북도,충북 청주시 상당구,"최저 -2 층 ~ 최고 25층, 4동",일반분양,286,286,0,0,6309915,20110201,
